,Unnamed: 0,sku,name,desc,price,in_stock,type
48,49,TWS0027,"Twelve South BookBook Case MacBook Air / Pro 13 ""brown",Funda Macbook Air / Pro 13 inch vintage leather with padded interior.,79.99,0,13835403
49,50,APP0367,Apple Mini DisplayPort to DVI Adapter Mac dual channel,Adapter Mini Display Port to DVI dual channel MacBook MacBook Pro and MacBook Air.,119.0,0,1325
50,51,APP0344,"Apple Thunderbolt Display 27 ""Monitor Mac",Monitor Display 27-inch Apple Thunderbolt (MC914ZM / A).,1149.0,0,1296
51,52,BLL0008,BlueLounge CableDrop Pack 6 Black,Cable management Mac iPhone iPad and iPod.,11.99,0,12285400
52,53,BLL0009,BlueLounge CableDrop Pack 6 White,Cable management Mac iPhone iPad and iPod.,12.99,0,12285400
53,54,BLL0011,BlueLounge Milo iPhone and iPod black support,Desktop support iPhone and iPod.,14.99,0,1216
54,55,BLL0012,Milo BlueLounge support iPhone and iPod white,Desktop support iPhone and iPod.,14.99,0,1216
55,56,KIN0002-2,Mac memory Kingston 2GB (2x1GB) 667MHz DDR2 SO-DIMM,RAM 2GB (2x1GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,37.98,0,1364
56,57,KIN0003-2,Mac memory Kingston 4GB (2x2gb) SO-DIMM DDR2 800MHz,RAM 4GB (2x2gb) iMac with Intel Core 2 Duo (Penryn).,73.98,0,1364
57,58,MOP0013,Mophie Juice Pack Air Battery Case iPhone 4 / 4S White,Case Battery (1500mAh) iPhone 4 / 4S polymer.,69.95,0,"5,49E+11"
58,59,MOS0065,Moshi TeraGlove cleaner screens,Microfibre screen cleaner for Mac iPhone iPad and iPod.,20.0,0,12355400
59,60,WAC0032,Wacom Bamboo Stylus Pack 3 first generation tips,3 Pack Bamboo Stylus pen tips iPad iPhone and iPod Touch.,4.99,0,1229
60,61,SPE0077,"Speck SeeThru Satin shell MacBook Pro 13 ""Morado",Macbooks housing 13 inches.,49.9,0,13835403
61,62,SPE0045,"Speck SeeThru Satin Case Macbook Air 11 ""Black",rigid housing MacBook Air 11 inches,49.9,0,13835403
62,63,WIT0009,Withings Wireless Scale Scale iPhone iPad & iPod Touch White,Scale WS-30 iPhone iPad and iPod Touch application from the App Store.,99.95,0,11905404
63,64,LAC0141,LaCie Porsche Design 1TB External Hard Drive Mac and PC,External Hard Drive Mac and PC USB 3.0 1TB,79.99,0,11935397
64,65,HGD0012,Henge Docks Click keyboard support iMac,Base to hold the Apple Magic TrackPad and Wireless Keyboard Dock,29.0,0,8696
65,66,MAK0008,Maclocks theft case iPad 2 3 and 4 black with rotary support,Case antitheft iPad 2 3 and 4 polycarbonate rotary support.,120.0,0,12635403
66,67,MAK0007,Maclocks theft case iPad 2 3 and 4 transparent rotary support,Case antitheft iPad 2 3 and 4 polycarbonate rotary support.,120.0,0,12635403
67,68,MAK0009,Maclocks theft case iPad 2 3 and 4 transparent,Case antitheft iPad 2 3 and 4 polycarbonate support and lock.,79.99,0,12635403
68,69,MAK0010,Maclocks theft case iPad 2 3 and 4 black,Case antitheft iPad 2 3 and 4 polycarbonate support and lock.,79.99,0,12635403
69,70,MAK0012,"Maclocks theft cover Macbook Air 13 """,Theft Case MacBook Air 13-inch polycarbonate with safety.,79.99,0,13835403
70,71,SEA0039,"Seagate Barracuda 2TB 35 ""SATA hard drive Mac and PC",Internal Hard Drive 2TB Mac and PC (ST2000DM006),89.99,1,12655397
71,72,SYN0047,Synology Pack 1 license for IP camera,1 Pack license Mac and PC camera.,52.99,1,1404
72,73,SYN0048,Synology Pack 4 IP camera licenses,4 Pack licenses Mac and PC camera.,181.99,0,1404
73,74,SYN0051,Sliding Rail kit synology 2U sliding rails,Shelf rail kit Synology RackStation.,102.49,0,1404
74,75,WAC0040,Wacom Bamboo Wireless Kit / Intuos graphics tablet accessory kit 5,Wireless Kit Wacom graphics tablets.,39.99,1,101781405
75,76,WAC0045,Wacom Intuos Airbrush stylus 4/5,stylus for pen tablets Cintiq 21UX Intuos 4/5 - 24HD,109.9,0,1229
76,77,WAC0046,Intuos Wacom stylus ArtPen 5/4,special stylus Mac and PC for Intuos4 graphics tablet / 5.,109.9,0,1229
77,78,SEA0044,"Seagate Barracuda 3TB 35 ""SATA hard drive Mac and PC",internal hard drive Mac and PC 3TB (ST3000DM008).,112.0,1,12655397
78,79,APP0370,Apple TV media player,Apple multimedia player.,79.0,0,4259
79,80,MOB0012,Mobee Magic Trackpad Charger Power Bar,Charger for Magic Trackpad.,29.49,0,13005399
80,81,MOS0073,Moshi iVisor AG Retina iPad Protector (3G / 4G) black,Retina iPad Protector free air bubbles.,29.95,0,14035403
81,82,WDT0127,"Western Digital Green 1TB 35 ""5400pm hard drive Mac and PC",WD Internal Hard Drive Mac and PC 1TB (WD10EZRX).,65.0,0,12655397
82,83,OTR0045,External Slim Case for SuperDrive MacBook / MacBook Pro,External SuperDrive case for MacBook and MacBook Pro.,35.0,1,12995397
83,84,IKM0013,IK Multimedia iRig MIX DJ Mixer iPhone iPad and iPod,Dj mixer iPhone iPad and iPod.,121.99,0,11905404
84,85,IKM0014,IK Multimedia iRig Stomp Guitar Pedal iPhone iPad and iPod,Guitar Pedal iPhone iPad and iPod.,73.19,0,11905404
85,86,KEN0045,Kensington Essentials Stand iPad Stand black,Universal support for iPad tablets.,29.99,0,1216
86,87,KEN0046,Kensington Essentials Stand iPad Stand white,Universal support for iPad tablets.,19.99,0,1216
87,88,IKM0015,IK Multimedia iRig PRE microphone adapter iPhone iPad and iPod,Microphone Adapter iPhone iPad and iPod.,48.79,1,11905404
88,89,IKM0016,IK Multimedia iRig MIC Cast iPhone iPad and iPod microphone,iPhone iPad and iPod microphone.,48.79,0,11905404
89,90,PAC0023,OWC Data Doubler Pack MacBook / MacBook Pro,Pack Replacement Superdrive for SSD / HDD + box Super Slim Superdrive + Tools.,107.99,1,12755395
90,91,HGD0015,"Henge Docks Docking Station MacBook Air 13 """,Dock MacBook Air 13-inch multi-function.,79.99,1,8696
91,92,GRT0249,Griffin Helo TC Assault Helicopter iPhone iPad and iPod Touch,Remote Control Helicopter iPhone iPad and iPod Touch.,59.99,0,12285400
92,93,OWC0008,OWC Data Doubler Optical Bay Adapter Mac Mini (2009) iMac (2009-11),Tray substitution of superdrive by hard drive 25 inches.,72.99,1,12755395
93,94,WAC0054,Wacom Bamboo Pen (pen parts for CTL-470K),Replacement pen for CTL-470K.,34.9,0,1229
94,95,WAC0055,Wacom Intuos Professional Accessory Kit,Intuos accessory kit.,24.9,0,101781405
95,96,WAC0058,Wacom Intuos 5/4 Grip Pen (Replacement pen) Mac and PC,wireless stylus Mac and PC.,79.99,0,1229
96,97,MAK0014,Maclocks safety housing Kiosk iPad 2 3 and 4 black,Holder and housing iPad 2 3 and 4 aluminum and iron base.,164.99,0,1216
97,98,MAK0015,Stick Maclocks silver metal safely iPad,Security lock plate steel iPad.,49.99,0,12085400
98,99,SEA0049,"Seagate Barracuda 1TB Hard Drive 35 ""SATA for Mac and PC",internal hard drive Mac and PC 1TB (ST1000DM010),59.0,1,12655397
99,100,APP0390,"Apple MacBook Pro 133 ""Core i5 25GHz | 4GB RAM | 500GB HDD",MacBook Pro laptop 133 inches (MD101Y / A).,1199.0,0,1282
100,109,PAC0508,Apple MacBook Pro 133 '' 25GHz | 16GB RAM | 1TB Fusion,Apple MacBook Pro Fusion Drive 16GB 2 internal and external SuperDrive disks.,1919.0,0,1282
101,118,PAC0507,Apple MacBook Pro 133 '' 25Ghz | 16GB RAM | Fusion 740GB,Apple MacBook Pro Fusion Drive 16GB 2 internal and external SuperDrive disks.,1639.0,0,1282
102,127,PAC0515,"Apple MacBook Pro 133 ""i7 29GHz | RAM 16GB | 500GB HDD | SSD 240GB",Apple MacBook Pro 133 inches (MD101Y / A) and SSD Processor RAM expansion.,2039.0,0,1282
103,136,PAC0510,"Apple MacBook Pro 133 ""i7 29GHz | RAM 16GB | 740GB Fusion",Apple MacBook Pro Fusion Drive 16GB 2 internal and external SuperDrive disks.,2039.0,0,1282
104,145,PAC0185,"Apple MacBook Pro 133 ""i5 25GHz | RAM 16GB | 275GB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with 275GB SSD.,1639.0,0,1282
105,154,PAC0186,"Apple MacBook Pro 133 ""25GHz | RAM 16GB | 500GB HDD | SSD 500GB",Apple MacBook Pro 133 inches (MD101Y / A) with two internal and external disks SuperDrive.,1919.0,0,1282
106,163,PAC0174,Apple MacBook Pro 133 '' 25GHz | 8GB RAM | Fusion 628GB,Apple MacBook Pro Fusion Drive 8GB internal and two external drives SuperDrive.,1613.99,0,1282
107,172,PAC0178,Apple MacBook Pro 133 '' 25GHz | 16GB RAM | Fusion 628GB,Apple MacBook Pro Fusion Drive 16GB 2 internal and external SuperDrive disks.,1733.99,0,1282
108,181,APP0574,Apple MacBook Pro 133 '' i7 29GHz | 4GB RAM | 500GB HDD,Apple MacBook Pro 133 inches (MD101Y / A) with extension Processor.,1379.0,0,1282
109,190,PAC0318,"Apple MacBook Pro 133 ""i7 29GHz | RAM 16GB | 500GB HDD",Apple MacBook Pro 133 inches (MD101Y / A) with processor and RAM expansion.,1619.0,0,1282
110,199,PAC0390,Apple MacBook Pro 133 '' i7 29GHz | 8GB RAM | 500GB HDD,Apple MacBook Pro 133 inches (MD101Y / A) with processor and RAM expansion.,1499.0,0,1282
111,208,PAC0449,"Apple MacBook Pro 133 ""i7 29GHz | RAM 16GB | 500GB HDD | SSD 500GB",Apple MacBook Pro 133 inches (MD101Y / A) and SSD Processor RAM expansion.,2399.0,0,1282
112,217,PAC0509,Apple MacBook Pro 133 '' i7 29GHz | 16GB RAM | 1TB Fusion,Apple MacBook Pro 133 inches (MD101Y / A) Drive Fusion 16GB two internal and external SuperDrive discs.,2399.0,0,1282
113,226,PAC1181,"Apple MacBook Pro 133 ""i5 25GHz | 16GB RAM | 1TB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with extended RAM and SSD.,2159.0,0,1282
114,235,PAC1182,"Apple MacBook Pro 133 ""i7 29GHz | 16GB RAM | 1TB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with processor and RAM expansion SSD.,2579.0,0,1282
115,244,PAC1240,"Apple MacBook Pro 133 ""i5 25GHz | RAM 16GB | 525GB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with extended RAM and SSD.,1899.0,0,1282
116,253,PAC1241,"Apple MacBook Pro 133 ""i7 29GHz | RAM 16GB | 500GB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with extended RAM and SSD.,2399.0,0,1282
117,262,PAC0183,"Apple MacBook Pro 133 ""25GHz | 8GB RAM | 500GB HDD",Apple MacBook Pro 133 inches (MD101Y / A) with extended memory.,1319.0,0,1282
118,271,PAC0184,"Apple MacBook Pro 133 ""25GHz | RAM 16GB | 500GB HDD",Apple MacBook Pro 133 inches (MD101Y / A) with extended memory.,1439.0,0,1282
119,280,APP0490,Apple Airport Express,Airport Express base station 802.11a / b / g / n.,109.0,0,1334
120,281,APP0399,Apple Thunderbolt to Gigabit Ethernet Adapter Mac,Mac adapter Thunderbolt to Gigabit Ethernet (MD463ZM / A).,35.0,1,1325
121,282,SNN0016,Sonnet XMAC mini Server,Turn your Mac mini Server Rack format,1208.79,0,12175397
122,283,FIT0009,Fitbit Aria scale smart white,smart scale with WiFi connection.,119.99,0,11905404
123,284,FIT0010,Fitbit Aria scale smart black,smart scale with WiFi connection.,119.99,0,11905404
124,285,KAN0009,Kanex ATV Pro HDMI to VGA adapter,HDMI to VGA adapter that supports audio.,59.95,0,1325
125,286,APP0400,Apple MagSafe to MagSafe converter 2,MagSafe to MagSafe converter 2.,12.0,0,1325
126,287,APP0407,Apple USB SuperDrive (June 2012 Model),New CD / DVD retina MacBook Pro MacBook Air iMac Mac Pro and Mac Mini.,89.0,1,1424
127,288,APP0408,Apple 45W MagSafe 2 charger MacBook Air,Charger MacBook Air MagSafe 2 of 45 W (MD592Z / A).,89.0,0,13005399
128,289,APP0409,Apple 85W MagSafe 2 charger MacBook Pro Retina screen 15 '',MagSafe charger 2 of 85 W (MD506Z / A).,89.0,1,13005399
129,290,DLK0008,D-Link DCS-932L Wireless IP Camera Cloud,Wireless network camera day and night home with my DLink.,79.99,0,9094
130,291,DLK0009,D-Link DCS-942L Wireless IP Camera Cloud,security camera with Wi-Fi or Ethernet night vision and motion sensor application for iPhone and iPad,169.99,0,9094
131,292,DLK0010,D-Link DIR-605L Cloud Router N300,Domestic Dlink Wireless Router.,39.99,0,1334
132,293,ROL0010,Rollei Chest Mount iPhone 4 / 4S,Case iPhone 4 / 4S for sport.,49.99,0,11865403
133,294,DLK0011,D-Link DUB-1340 Hub 4 x SuperSpeed ​​USB 3.0 Mac and PC,Dlink USB Hub Mac and PC 4 port.,64.0,0,12995397
134,295,DLK0012,D-Link DUB-H7 Hub 7 x Hi-Speed ​​USB Mac and PC,Dlink USB Hub Mac and PC 7 ports.,33.99,0,12995397
135,296,DLK0015,D-Link DWA-131 Wireless N Nano USB Adapter,Dlink wireless Nano USB for Mac and PC.,14.99,0,1334
136,297,WDT0139,"Red 1TB WD 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 1TB (WD10EFRX).,77.0,0,12655397
137,298,WDT0140,"Red 2TB WD 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 2TB (WD20EFRX).,99.0,1,12655397
138,299,WDT0141,"WD Red 3TB 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 3TB (WD30EFRX).,129.0,1,12655397
139,300,WDT0183,"Red 4TB WD 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 4TB (WD40EFRX).,169.0,1,12655397
140,301,WDT0249,"WD Red 6TB 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 6TB (WD60EFRX).,255.0,1,12655397
141,302,WDT0318,"WD Red 8TB 35 ""Mac PC hard drive and NAS",Western Digital Hard Drive 8TB 35 inch SATA 6 Gb / s for small businesses and home.,359.0,1,12655397
142,303,WDT0395,"WD Red 10TB 35 ""Mac PC hard drive and NAS",Western Digital Hard Drive 10TB 35-inch SATA 6 Gb / s for small businesses and home.,439.0,1,12655397
143,304,WAC0030,Wacom Cintiq 22HD Interactive Pen Display Mac and PC,LCD graphic display with 215-inch Full HD and pencil precision for Mac and PC,1799.0,0,1405
144,305,SAN0013,SanDisk Cruzer Blade 8GB USB 2.0 Flash Drive,Compact flash drive 8GB USB 2.0 Mac and PC.,4.0,0,57445397
145,306,SAN0014,SanDisk Cruzer Blade 16GB USB 2.0 Flash Drive,Compact flash drive 16GB USB 2.0 Mac and PC.,6.0,0,57445397
146,307,SAN0017,SanDisk Cruzer Edge USB 2.0 Flash Drive 16GB,Pendrive USB 2.0 Mac and PC.,8.0,0,
147,308,NTE0044,"NewerTech windy 225 ""for iMac",Suction cup 225 inches for aluminum iMac.,11.99,1,14305406
148,309,NTE0011,NewerTech miniStack external box Mac,Mac external box 35 USB 3.0 eSATA FireWire 800/400.,108.99,0,12995397
149,310,OWC0020,Envoy OWC USB 3.0 Case for MacBook Air SSD 2010/2011,Box Portable External USB 2.0 / 3.0 for MacBook Air SSD.,60.99,1,11935397
150,311,NTE0012,NewerTech universal adapter IDE / SATA to USB 3.0,High speed universal adapter HDD / SSD to USB 3.0.,54.99,1,1325
151,312,NTE0013,"AdaptaDrive NewerTech adapter 2.5 ""to 3.5"" SATA",Adapter HDD / SSD 2.5 SATA 3.5 compatible with Mac Pro.,26.99,1,12755395
152,313,NTE0014,NewerTech eSATA to USB 3.0 Adapter,High-speed eSATA adapter to USB 3.0.,36.99,0,1325
153,314,OWC0024,OWC Mount Adapter 25-35 Pro Mac Pro (2009-2012),SSD hard drive adapter or 2.5 for Mac Pro.,35.99,1,12755395
154,315,NTE0015,NewerTech NuStand Support Mac Mini Silver Alloy,Elegant support for MacMini 2010 and later,30.99,0,8696
155,316,NTE0016,NewerTech adapter 65W iBook G4 and PowerBook G3 / G4,AC adapter iBook G3 / G4 and PowerBook G4 65W.,49.95,0,13005399
156,317,NTE0017,"NewerTech NuPower Battery MacBook 13 ""white",133 inch MacBook battery (White Model).,119.99,1,10142
157,318,NTE0018,"NewerTech NuPower Battery MacBook 13 ""Black",133 inch MacBook battery (Black Model).,119.99,1,10142
158,319,NTE0039,"NewerTech NuPower battery PowerBook G4 15 """,Battery replacement PowerBook G4 15 inches.,99.99,0,13005399
159,320,NTE0020,"NewerTech NuPower battery MacBook Pro 15 ""(Late 2008 - Early 2009)",Battery MacBook Pro 15-inch Unibody late 2008 and early 2009,119.99,1,10142
160,321,NTE0021,"NewerTech NuPower Battery MacBook 13 ""Aluminum",battery MacBook 13-inch (Aluminum Model).,119.99,1,10142
161,322,OWC0028,"OWC SSD installation Kit for iMac 215 ""(2011)",Installation kit for iMac SSD 215 inches (2011).,60.99,1,14305406
162,323,OWC0013,OWC Kit of 5 tools for Mac and PC,Kit of 5 tools for repair / extension Mac.,6.99,1,14305406
163,324,OWC0026,"Installation Kit OWC SSD Hard Drive 25 ""Mac mini 2011/2012",Installation Kit HDD or SSD for Mac mini 2011 Late 2012 Mid tools,54.99,1,14305406
164,325,OWC0027,"OWC SSD installation kit for iMac 27 ""2011",SSD installation on iMac 27-inch Mid 2011 Kit,60.99,1,14305406
165,326,OWC0029,"OWC SSD installation Kit for iMac 27 ""(2010)",Installation Kit SSD iMac 27-inch (model 2010).,60.99,1,14305406
166,327,OWC0037,"OWC Mercury Elite Pro Mini aluminum box 25 ""FW800 / USB2 / eSATA",outer case 25 inch SATA eSATA / FW800 / FW400 / USB 2.0.,69.99,0,12995397
167,328,NTE0010,NewerTech iPhone Kit tools,7 Kit tools needed for iPhone 4 / 4S,15.99,1,12645406
168,329,APP0410,Apple Thunderbolt to FireWire 800 adapter,Adapter Thunderbolt to Firewire 800 connection.,35.0,1,1325
169,330,STM0038,"STM Bags Small Alley Backpack MacBook Pro 13 ""black coal",Slingbag MacBook Pro 13-inch.,40.0,1,10230
170,331,MAK0016,Executive Maclocks White iPad Case,Anti-theft cases Case 1 2 3 4 Air and supported.,134.99,0,12635403
171,332,NTE0022,"NewerTech NuPower battery MacBook Pro 17 ""(2006-2008)",MacBook Pro 17 inch battery.,145.99,0,10142
172,333,OWC0025,"SSD expansion kit OWC Aura Pro 6G 240GB MacBook Air 11 ""and 13"" 2012",SSD 240GB expansion for MacBook Air 11-inch and 13-inch 2012 Kit tools,241.99,1,12215397
173,334,NTE0023,NewerTech eSATA Cable Adapter Mac Pro,Add 2 eSATA ports with the adapter cable for Mac Pro.,30.99,1,12755395
174,335,OWC0009,OWC Case External SuperSlim for SuperDrive MacBook / MacBook Pro,Black External Case for Apple SuperDrive.,48.99,1,11935397
175,336,OWC0039,"OWC Mercury On-The-Go Pro Mini transparent box 25 ""FW800 / FW400 / USB3",outer case 25 inch SATA connection FW800 / FW400 / USB 3.0.,96.99,1,11935397
176,337,OWC0040,"OWC Mercury On-The-Go Pro Mini transparent box 25 ""USB3 / USB2",outer case 25 inch SATA USB 3.0 and 2.0.,54.99,1,11935397
177,338,OWC0228,OWC Tools MacBook Air 2010 and MacBook Pro Retina back and Torx5 & Torx Plus pentalobe,2 Kit tools for repair / expansion MacBook Air 2010 and MacBook Pro Retina and posterior (all models),15.99,0,14305406
178,339,OWC0016,OWC Aura Pro 6G 240GB SSD for MacBook Air 2010-2011,240GB SSD hard drive for MacBook Air 2010/2011 + tools + external box.,199.99,0,12215397
179,340,OWC0015,"OWC Aura expansion kit 6G SSD 120GB MacBook Air 11 ""and 13"" 2010 to 2011",120GB SSD expansion for MacBook Air 11-inch and 13-inch Late 2010 to Mid 2011 Kit tools,144.99,1,12215397
180,341,APP0416,Apple iPod Touch 32GB Silver,New generation iPod touch 5 32GB white / silver.,279.0,0,11821715
181,342,APP0417,Apple iPod Touch 32GB yellow,New 5 generation iPod touch 32GB yellow.,279.0,0,11821715
182,343,APP0418,Apple iPod Touch 32GB Blue,New 5 generation iPod touch 32GB blue.,279.0,0,11821715
183,344,APP0419,Apple iPod Touch 32GB Pink,New 5 generation iPod touch 32GB rose.,279.0,0,11821715
184,345,APP0421,Apple iPod Touch 64GB Silver,New iPod touch 5 generation white / silver 64GB.,339.0,0,11821715
185,346,APP0422,Apple iPod Touch 64GB yellow,New 5 generation iPod touch 64GB yellow.,339.0,0,11821715
186,347,APP0423,Apple iPod Touch 64GB Blue,New 5 generation iPod touch 64GB blue.,339.0,0,11821715
187,348,APP0424,Apple iPod Touch 64GB Pink,New 5 generation iPod touch 64GB rose.,339.0,0,11821715
188,349,APP0426,Apple iPod nano 16Gb Silver,Music player iPod nano 7 Generation 16GB silver.,179.0,0,11821715
189,350,APP0427,Apple iPod nano 16Gb purple,Music player iPod nano 7 Generation 16GB purple.,179.0,0,11821715
190,351,APP0428,Apple iPod nano 16Gb pink,Music player iPod nano 16GB 7 Generation rose.,179.0,0,11821715
191,352,APP0429,Apple iPod nano 16Gb yellow,Music player iPod nano 7 Generation 16GB yellow.,179.0,0,11821715
192,353,APP0430,Apple iPod nano 16Gb Green,Music player iPod nano 16GB 7 Generation Green.,179.0,0,11821715
193,354,APP0431,Apple iPod nano 16Gb Blue,Music player iPod nano 7 Generation 16GB blue.,179.0,0,11821715
194,355,KEN0059,Kensington Soft Case cover iPhone 5 / 5S black,Soft Case iPhone 5 / 5S.,14.99,0,11865403
